================================================================================
  cadets
================================================================================
     21926x  Subject(SUBJECT_PROCESS)  --EVENT_EXECUTE-->  FileObject(FILE_OBJECT_FILE)  |  FileObject(FILE_OBJECT_FILE)
       178x  Unresolved(Unresolved)  --EVENT_READ-->  IpcObject(IPC_OBJECT_PIPE_UNNAMED)  |  None
        88x  Unresolved(Unresolved)  --EVENT_READ-->  NetFlowObject  |  None
      7776x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
      1112x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  NetFlowObject  |  None
        15x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  FileObject(FILE_OBJECT_FILE)  |  None
        55x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  SrcSinkObject(SRCSINK_IPC)  |  None
        19x  Unresolved(Unresolved)  --EVENT_RECVFROM-->  NetFlowObject  |  None
       851x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  SrcSinkObject(SRCSINK_IPC)  |  None
       315x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
         4x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  IpcObject(IPC_OBJECT_SOCKET_PAIR)  |  None
         2x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
       689x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  SrcSinkObject(SRCSINK_IPC)  |  None
       452x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
        10x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  IpcObject(IPC_OBJECT_SOCKET_PAIR)  |  None
        12x  Unresolved(Unresolved)  --EVENT_SENDMSG-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
         8x  Unresolved(Unresolved)  --EVENT_SENDMSG-->  SrcSinkObject(SRCSINK_IPC)  |  None
      4909x  Subject(SUBJECT_PROCESS)  --EVENT_SENDTO-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
       706x  Subject(SUBJECT_PROCESS)  --EVENT_SENDTO-->  NetFlowObject  |  None
        26x  Subject(SUBJECT_PROCESS)  --EVENT_SENDTO-->  SrcSinkObject(SRCSINK_IPC)  |  None
         1x  Subject(SUBJECT_PROCESS)  --EVENT_SENDTO-->  FileObject(FILE_OBJECT_FILE)  |  None
       247x  Unresolved(Unresolved)  --EVENT_SENDTO-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
        18x  Unresolved(Unresolved)  --EVENT_SENDTO-->  NetFlowObject  |  None
        49x  Subject(SUBJECT_PROCESS)  --EVENT_SENDTO-->  Unresolved(Unresolved)  |  None
    596144x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_FILE)  |  None
        50x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
     41866x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_IPC)  |  None
      2841x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  NetFlowObject  |  None
      2166x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  IpcObject(IPC_OBJECT_PIPE_UNNAMED)  |  None
   1993542x  Unresolved(Unresolved)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_FILE)  |  None
    103945x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  Unresolved(Unresolved)  |  None
       184x  Unresolved(Unresolved)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_IPC)  |  None
        90x  Unresolved(Unresolved)  --EVENT_WRITE-->  IpcObject(IPC_OBJECT_PIPE_UNNAMED)  |  None
        31x  Unresolved(Unresolved)  --EVENT_WRITE-->  NetFlowObject  |  None

================================================================================
  clearscope
================================================================================
         6x  Subject(SUBJECT_PROCESS)  --EVENT_CLONE-->  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)  |  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)
         7x  Subject(SUBJECT_PROCESS)  --EVENT_CLONE-->  FileObject(FILE_OBJECT_FILE)  |  FileObject(FILE_OBJECT_FILE)
        20x  Unresolved(Unresolved)  --EVENT_CLONE-->  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)  |  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)
        16x  Subject(SUBJECT_PROCESS)  --EVENT_FORK-->  None  |  None
        17x  Subject(SUBJECT_PROCESS)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_FILE)  |  None
         2x  Unresolved(Unresolved)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_FILE)  |  None
      2903x  Subject(SUBJECT_PROCESS)  --EVENT_LSEEK-->  FileObject(FILE_OBJECT_FILE)  |  None
     16404x  Unresolved(Unresolved)  --EVENT_LSEEK-->  FileObject(FILE_OBJECT_FILE)  |  None
         4x  Subject(SUBJECT_PROCESS)  --EVENT_LSEEK-->  Unresolved(Unresolved)  |  None
    406354x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  FileObject(FILE_OBJECT_FILE)  |  None
    132358x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  None  |  None
     40223x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)  |  None
     28567x  Unresolved(Unresolved)  --EVENT_MMAP-->  FileObject(FILE_OBJECT_FILE)  |  None
     24173x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  Unresolved(Unresolved)  |  None
       107x  Unresolved(Unresolved)  --EVENT_MMAP-->  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)  |  None
    299318x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  Subject(SUBJECT_PROCESS)  |  None
    628075x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  FileObject(FILE_OBJECT_FILE)  |  None
     10557x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  None  |  None
       932x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)  |  None
    273715x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  SrcSinkObject(SRCSINK_BINDER)  |  None
      2916x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  SrcSinkObject(SRCSINK_PROCESS_MANAGEMENT)  |  None
      2383x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  SrcSinkObject(SRCSINK_POSIX)  |  None
       344x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  FileObject(FILE_OBJECT_DIR)  |  None
      5189x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  SrcSinkObject(SRCSINK_DATABASE)  |  None
      1581x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  SrcSinkObject(SRCSINK_CONTENT_PROVIDER)  |  None
      1427x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  IpcObject(IPC_OBJECT_PIPE_UNNAMED)  |  None
     43243x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  SrcSinkObject(SRCSINK_SERVICE_MANAGEMENT)  |  None
       228x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  Subject(SUBJECT_PROCESS)  |  Subject(SUBJECT_PROCESS)
     60357x  Unresolved(Unresolved)  --EVENT_READ-->  FileObject(FILE_OBJECT_FILE)  |  None
    102428x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  Unresolved(Unresolved)  |  None
        84x  Unresolved(Unresolved)  --EVENT_READ-->  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)  |  None
        10x  Unresolved(Unresolved)  --EVENT_READ-->  FileObject(FILE_OBJECT_DIR)  |  None
         3x  Unresolved(Unresolved)  --EVENT_READ-->  Subject(SUBJECT_PROCESS)  |  None
        21x  Unresolved(Unresolved)  --EVENT_READ-->  IpcObject(IPC_OBJECT_PIPE_UNNAMED)  |  None
      1729x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)  |  None
       166x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  IpcObject(IPC_OBJECT_SOCKET_NETLINK)  |  None
         1x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  NetFlowObject  |  None
      6286x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  Unresolved(Unresolved)  |  None
      1425x  Unresolved(Unresolved)  --EVENT_RECVFROM-->  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)  |  None
       468x  Unresolved(Unresolved)  --EVENT_RECVFROM-->  NetFlowObject  |  None
       208x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  NetFlowObject  |  None
      1136x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)  |  None
       256x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)  |  None
       211x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  NetFlowObject  |  None
       112x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)  |  None
        28x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  Unresolved(Unresolved)  |  None
       344x  Unresolved(Unresolved)  --EVENT_SENDMSG-->  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)  |  None
     50309x  Subject(SUBJECT_PROCESS)  --EVENT_SENDTO-->  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)  |  None
     40386x  Subject(SUBJECT_PROCESS)  --EVENT_SENDTO-->  Unresolved(Unresolved)  |  None
     76626x  Unresolved(Unresolved)  --EVENT_SENDTO-->  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)  |  None
       196x  Unresolved(Unresolved)  --EVENT_SENDTO-->  NetFlowObject  |  None
     63662x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)  |  None
    381233x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_FILE)  |  None
      2471x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_SERVICE_MANAGEMENT)  |  None
     11908x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_BINDER)  |  None
       524x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_PERMISSIONS)  |  None
      5231x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_DATABASE)  |  None
      1759x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_POWER_MANAGEMENT)  |  None
      3873x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  None  |  None
        15x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_DIR)  |  None
        21x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_KEYCHAIN)  |  None
      3649x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_DISPLAY)  |  None
       310x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_NETWORK_MANAGEMENT)  |  None
       984x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_INSTALLED_PACKAGES)  |  None
       601x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_CONTENT_PROVIDER_MANAGEMENT)  |  None
       183x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_BLUETOOTH)  |  None
      3655x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_UI)  |  None
      4744x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  IpcObject(IPC_OBJECT_PIPE_UNNAMED)  |  None
        20x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_VIBRATOR)  |  None
       728x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_AUDIO_IO)  |  None
        29x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_MEDIA_REMOTE_PLAYBACK)  |  None
       436x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_TELEPHONY)  |  None
        84x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_JSSE_TRUST_MANAGER)  |  None
       144x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_KEYGUARD)  |  None
       313x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_DEVICE_USER)  |  None
        15x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_FINGERPRINT)  |  None
        15x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_SPEECH_INTERACTION)  |  None
        55x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_ACCESSIBILITY_SERVICE)  |  None
       398x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_NOTIFICATION)  |  None
        96x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_ALARM_SERVICE)  |  None
        90x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_MEDIA_LOCAL_PLAYBACK)  |  None
       200x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_CONTENT_PROVIDER)  |  None
        28x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_DEVICE_ADMIN)  |  None
         9x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_WALLPAPER_MANAGER)  |  None
       916x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_STATUS_BAR)  |  None
         6x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_SCREEN_AUDIO_CAPTURE)  |  None
       148x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_RPC)  |  None
        48x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_PROCESS_MANAGEMENT)  |  None
         2x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_LOCATION)  |  None
         1x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_NFC)  |  None
         1x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_USER_ACCOUNTS_MANAGEMENT)  |  None
         2x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_DEVICE_SEARCH)  |  None
     27131x  Unresolved(Unresolved)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_FILE)  |  None
       508x  Unresolved(Unresolved)  --EVENT_WRITE-->  IpcObject(IPC_OBJECT_SOCKET_UNNAMED)  |  None
     22533x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  Unresolved(Unresolved)  |  None
         5x  Unresolved(Unresolved)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_AUDIO_IO)  |  None
        21x  Unresolved(Unresolved)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_DISPLAY)  |  None
         1x  Unresolved(Unresolved)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_NETWORK_MANAGEMENT)  |  None
         4x  Unresolved(Unresolved)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_INSTALLED_PACKAGES)  |  None
         3x  Unresolved(Unresolved)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_CONTENT_PROVIDER_MANAGEMENT)  |  None
         3x  Unresolved(Unresolved)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_UI)  |  None
         4x  Unresolved(Unresolved)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_TELEPHONY)  |  None
         1x  Unresolved(Unresolved)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_LOCATION)  |  None
        22x  Unresolved(Unresolved)  --EVENT_WRITE-->  IpcObject(IPC_OBJECT_PIPE_UNNAMED)  |  None

================================================================================
  fivedirections
================================================================================
     65706x  Subject(SUBJECT_THREAD)  --EVENT_CREATE_THREAD-->  Subject(SUBJECT_THREAD)  |  None
    159989x  Unresolved(Unresolved)  --EVENT_CREATE_THREAD-->  Subject(SUBJECT_THREAD)  |  None
       955x  Subject(SUBJECT_PROCESS)  --EVENT_EXECUTE-->  FileObject(FILE_OBJECT_PEFILE)  |  None
       193x  Subject(SUBJECT_PROCESS)  --EVENT_EXECUTE-->  FileObject(FILE_OBJECT_FILE)  |  None
      1976x  Subject(SUBJECT_PROCESS)  --EVENT_EXECUTE-->  Unresolved(Unresolved)  |  None
      1635x  Subject(SUBJECT_PROCESS)  --EVENT_FORK-->  Subject(SUBJECT_PROCESS)  |  None
      1489x  Unresolved(Unresolved)  --EVENT_FORK-->  Subject(SUBJECT_PROCESS)  |  None
     28094x  Subject(SUBJECT_THREAD)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_PEFILE)  |  None
       188x  Subject(SUBJECT_THREAD)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_FILE)  |  None
     58451x  Subject(SUBJECT_THREAD)  --EVENT_LOADLIBRARY-->  Unresolved(Unresolved)  |  None
      6848x  Unresolved(Unresolved)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_PEFILE)  |  None
        38x  Unresolved(Unresolved)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_FILE)  |  None
    402294x  Subject(SUBJECT_THREAD)  --EVENT_READ-->  FileObject(FILE_OBJECT_CHAR)  |  None
   1128695x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  RegistryKeyObject  |  None
    198603x  Subject(SUBJECT_THREAD)  --EVENT_READ-->  FileObject(FILE_OBJECT_FILE)  |  None
         1x  Subject(SUBJECT_THREAD)  --EVENT_READ-->  FileObject(FILE_OBJECT_PEFILE)  |  None
   1232129x  Unresolved(Unresolved)  --EVENT_READ-->  RegistryKeyObject  |  None
    956245x  Unresolved(Unresolved)  --EVENT_READ-->  FileObject(FILE_OBJECT_CHAR)  |  None
    335273x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  Unresolved(Unresolved)  |  None
    903886x  Unresolved(Unresolved)  --EVENT_READ-->  FileObject(FILE_OBJECT_FILE)  |  None
    182451x  Subject(SUBJECT_THREAD)  --EVENT_READ-->  Unresolved(Unresolved)  |  None
        17x  Unresolved(Unresolved)  --EVENT_READ-->  FileObject(FILE_OBJECT_PEFILE)  |  None
    149997x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  NetFlowObject  |  None
        12x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  SrcSinkObject(SRCSINK_SERVICE_MANAGEMENT)  |  Subject(SUBJECT_PROCESS)
     70594x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  Unresolved(Unresolved)  |  None
        32x  Unresolved(Unresolved)  --EVENT_RECVFROM-->  SrcSinkObject(SRCSINK_SERVICE_MANAGEMENT)  |  Unresolved(Unresolved)
        16x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  SrcSinkObject(SRCSINK_SERVICE_MANAGEMENT)  |  Unresolved(Unresolved)
    111112x  Unresolved(Unresolved)  --EVENT_RECVFROM-->  NetFlowObject  |  None
        11x  Unresolved(Unresolved)  --EVENT_RECVFROM-->  SrcSinkObject(SRCSINK_SERVICE_MANAGEMENT)  |  Subject(SUBJECT_PROCESS)
         5x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  Unresolved(Unresolved)  |  Unresolved(Unresolved)
         1x  Unresolved(Unresolved)  --EVENT_RECVFROM-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
         2x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
      3981x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  SrcSinkObject(SRCSINK_TELEPHONY)  |  None
      4479x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  Subject(SUBJECT_PROCESS)  |  None
    115271x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  SrcSinkObject(SRCSINK_TELEPHONY)  |  None
       515x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  Unresolved(Unresolved)  |  None
       428x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  Subject(SUBJECT_PROCESS)  |  None
      9407x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  Subject(SUBJECT_PROCESS)  |  None
       145x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  Unresolved(Unresolved)  |  None
    706087x  Subject(SUBJECT_PROCESS)  --EVENT_SENDTO-->  NetFlowObject  |  None
    742618x  Subject(SUBJECT_PROCESS)  --EVENT_SENDTO-->  Unresolved(Unresolved)  |  None
   1092216x  Unresolved(Unresolved)  --EVENT_SENDTO-->  NetFlowObject  |  None
     39386x  Subject(SUBJECT_THREAD)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_CHAR)  |  None
     40722x  Subject(SUBJECT_THREAD)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_FILE)  |  None
    132448x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  RegistryKeyObject  |  None
    101055x  Unresolved(Unresolved)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_CHAR)  |  None
    126916x  Unresolved(Unresolved)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_FILE)  |  None
    107481x  Unresolved(Unresolved)  --EVENT_WRITE-->  RegistryKeyObject  |  None
      1999x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  Unresolved(Unresolved)  |  None
    142277x  Subject(SUBJECT_THREAD)  --EVENT_WRITE-->  Unresolved(Unresolved)  |  None

================================================================================
  marple
================================================================================
     17586x  Subject(SUBJECT_THREAD)  --EVENT_CREATE_THREAD-->  Subject(SUBJECT_THREAD)  |  None
       703x  FileObject(FILE_OBJECT_PEFILE)  --EVENT_CREATE_THREAD-->  Subject(SUBJECT_THREAD)  |  None
